10.02.2014	13:04:51
automatische Belichtungszeit, Gamma 1,60 korrigiert!
yPos 420	xPos 342


Zeilenpixel	Spaltenpixel
28	40
22	40
22	34
18	28
22	28
22	28
28	40
28	28
18	34
22	28
18	22
18	40
18	22
22	28
28	40
22	22
18	28
22	22
18	40
13	28
18	22
22	46
18	34
18	28
18	22
18	28
22	28
22	28
18	28
18	40
18	40
22	28
28	22
22	28
18	18
22	28
34	18
40	22
40	22
34	34
22	28
18	13
13	34
28	28
34	34
28	34
22	40
22	22
18	22
13	28
18	22
28	34
28	28
28	18
34	28
22	34
22	22
22	34
28	22
22	40
18	28
18	34
28	34
28	28
34	34
28	34
22	28
22	22
22	18
18	28
18	34
18	28
22	34
34	40
34	28
34	18
34	22
28	34
22	34
28	34
28	22
22	28
18	40
22	28
22	34
18	22
13	34
18	40
22	34
22	22
22	28
28	22
34	22
28	28
28	40
28	28
22	22
18	40
18	28
22	28
22	22
22	40
22	22
18	28
22	22
40	46
34	40
22	40
22	40
28	46
28	46
22	28
22	28
28	22
28	22
22	22
18	22
18	22
18	22
18	34
13	22
18	28
22	28
22	46
22	34
22	28
18	34
13	22
22	28
28	28
34	40
22	34
22	34
22	28
18	46
18	34
22	28
22	46
22	22
18	46
18	40
28	34
34	34
28	40
13	34
18	22
18	46
22	34
22	40
22	28
22	34
22	34
22	34
28	28
28	22
28	28
22	18
22	34
22	34
18	22
22	53
22	22
22	22
13	28
22	34
28	28
22	34
22	22
22	40
22	40
18	34
18	28
18	34
18	28
13	18
18	18
22	40
22	28
22	22
18	40
18	28
18	28
18	34
28	18
34	28
22	34
18	40
18	22
13	34
9	34
13	18
18	28
22	22
22	22
18	34
28	28
28	28
22	28
13	34
18	18
28	28
22	28
18	18
18	28
13	28
28	34
34	22
13	34
6	40
13	28
22	53
18	46
13	28
13	28
13	34
13	18
22	18
34	34
28	28
18	28
13	28
13	28
22	28
22	22
22	22
28	18
28	28
28	40
18	40
18	34
22	28
22	34
18	22
18	22
18	28
18	22
28	22
28	34
28	22
22	18
22	40
28	22
22	22
13	34
13	28
13	34
18	22
18	34
18	22
22	28
34	18
28	18
22	34
28	18
28	22
22	40
28	46
22	28
22	18
22	28
28	22
40	22
53	22
61	34
40	22
28	34
40	22
53	18
46	40
34	28
22	22
22	34
53	28
93	34
111	28
84	18
61	28
84	28
162	22
172	28
184	40
151	28
151	22
256	18
411	28
474	22
411	18
426	22
591	18
896	22
896	28
855	22
738	34
738	18
937	22
1245	18
1510	18
1387	28
1268	34
1387	13
1740	18
1819	22
1900	18
1793	28
1740	28
2037	28
2412	28
2471	22
2353	28
2294	22
2441	34
2840	34
2904	34
3000	9
2872	18
2778	22
3000	22
3362	22
3600	18
3600	22
3463	28
3463	28
4023	18
4168	22
4278	34
4241	34
4241	28
4278	28
4463	28
4882	28
4804	28
4766	28
5076	40
5354	28
5394	34
5394	40
5234	22
5076	28
5195	34
5515	28
5760	34
5760	22
5678	18
5596	40
5515	46
5555	28
5555	46
5555	61
5515	68
5515	76
5555	76
5434	68
5354	68
5155	76
4843	102
4804	121
4652	102
4501	151
4241	141
4059	172
3916	207
3845	219
3810	269
3704	256
3566	323
3497	381
3429	411
3295	458
3195	490
3032	574
2904	609
2746	645
2623	663
2501	796
2353	937
2265	979
2207	1109
2122	1222
2122	1387
2065	1460
1955	1534
1819	1510
1740	1610
1610	1819
1363	1927
1222	2010
1109	2150
979	2236
855	2294
776	2265
738	2441
645	2653
557	2715
490	2809
442	2872
396	3000
396	3163
351	3328
309	3670
323	3845
282	4023
256	4132
231	4204
207	4278
195	4389
151	4538
111	4690
102	4882
93	4804
76	4882
61	4920
61	4843
61	4882
68	5076
68	5155
68	5314
53	5555
40	5596
40	5555
40	5596
34	5678
28	5555
34	5515
34	5474
34	5515
28	5474
28	5314
28	5234
18	5155
18	5076
18	5037
22	4882
28	4920
18	4843
18	4920
22	4882
28	4882
34	4882
28	4766
22	4728
18	4614
22	4501
28	4426
40	4204
34	4059
18	3880
13	3774
13	3566
18	3429
22	3262
22	3065
22	2872
34	2715
34	2684
22	2592
22	2441
28	2353
28	2265
22	2094
18	1955
18	1846
18	1662
22	1510
22	1363
13	1315
13	1222
22	1131
28	979
22	958
22	916
28	835
34	681
34	645
22	574
18	506
18	411
22	381
28	309
28	282
28	269
28	269
28	243
28	207
22	172
22	162
28	84
40	84
40	68
34	76
28	76
22	93
18	68
18	84
22	53
18	46
18	34
34	40
40	40
28	53
18	34
28	34
28	28
22	18
18	18
13	22
18	18
28	18
34	18
34	18
28	22
28	22
22	22
18	18
18	18
18	18
28	22
34	22
34	22
34	18
28	13
22	18
18	13
18	18
18	28
18	22
18	13
22	18
28	18
40	18
40	13
28	13
22	13
34	18
34	18
28	13
28	13
28	22
34	13
28	22
22	13
34	18
40	18
28	28
34	13
46	22
53	13
46	13
40	13
28	13
18	18
13	18
22	22
28	34
34	18
34	22
34	22
40	22
40	13
40	34
34	22
28	18
28	18
28	18
34	18
28	18
22	9
22	22
28	13
22	18
22	13
28	28
40	0
34	0
18	0
18	0
22	0
18	0
18	0
13	0
18	0
22	0
18	0
18	0
18	0
13	0
22	0
34	0
22	0
22	0
22	0
22	0
22	0
22	0
22	0
18	0
9	0
13	0
28	0
28	0
13	0
13	0
22	0
22	0
28	0
28	0
22	0
9	0
13	0
22	0
22	0
22	0
28	0
28	0
22	0
13	0
13	0
18	0
28	0
28	0
13	0
18	0
22	0
22	0
18	0
13	0
13	0
18	0
18	0
18	0
22	0
22	0
13	0
13	0
22	0
22	0
18	0
13	0
18	0
22	0
13	0
18	0
18	0
13	0
18	0
18	0
13	0
13	0
13	0
18	0
13	0
13	0
18	0
18	0
9	0
22	0
28	0
18	0
18	0
18	0
18	0
13	0
9	0
9	0
18	0
18	0
13	0
13	0
9	0
9	0
13	0
13	0
18	0
18	0
18	0
18	0
18	0
18	0
22	0
22	0
13	0
9	0
13	0
18	0
13	0
9	0
18	0
18	0
22	0
22	0
18	0
18	0
22	0
22	0
18	0
13	0
9	0
13	0
22	0
22	0
18	0
13	0
18	0
18	0
22	0
13	0
9	0
13	0
18	0
18	0
13	0
9	0
9	0
13	0
13	0
22	0
34	0
22	0
13	0
9	0
9	0
18	0
34	0
22	0
9	0
6	0
9	0
18	0
13	0
9	0
9	0
9	0
22	0
22	0
13	0
18	0
18	0
18	0
13	0
9	0
6	0
9	0
18	0
18	0
9	0
9	0
13	0
18	0
22	0
18	0
13	0
13	0
18	0
18	0
22	0
18	0
9	0
13	0
13	0
18	0
13	0
9	0

