10.02.2014	15:07:31
automatische Belichtungszeit, Gamma 1,60 korrigiert!
yPos 431	xPos 515
Drehwinkel:5,00 Grad

Zeilenpixel	Spaltenpixel
28	896
28	1065
22	1131
22	1087
28	1065
28	1154
28	1510
22	1688
18	1714
18	1610
18	1610
22	1819
18	1955
18	1927
22	1766
28	1662
34	1688
28	1846
28	2037
28	2150
28	1982
28	1927
28	2065
22	2323
22	2531
22	2531
22	2531
28	2471
28	2684
28	2872
28	2936
28	2840
28	2778
34	2904
34	3097
28	3295
28	3228
34	3130
34	3097
34	3228
28	3396
22	3497
18	3532
18	3463
18	3532
18	3635
22	3670
28	3566
34	3463
28	3497
22	3704
22	3916
22	4095
28	4059
28	3987
28	4132
22	4168
22	4204
18	4278
13	4389
18	4576
28	4690
28	4843
22	4804
22	4652
22	4463
22	4352
28	4241
28	4204
28	4132
22	4095
28	4204
22	4278
18	4315
28	4168
34	4204
22	4278
22	4315
22	4389
18	4501
22	4463
22	4352
28	4352
28	4426
28	4426
28	4278
28	4059
28	4095
22	4278
22	4389
22	4168
18	3880
13	3739
18	3810
22	3880
22	4023
22	3951
22	3704
18	3600
22	3600
22	3429
18	3163
18	3065
18	3130
28	3262
34	3328
28	3195
28	2968
22	2746
18	2746
18	2746
22	2684
22	2653
18	2562
22	2382
22	2382
18	2412
22	2179
22	1819
34	1636
28	1636
28	1688
22	1714
18	1610
18	1315
18	1087
22	1043
28	1043
28	937
18	815
18	681
22	523
22	474
22	426
18	269
18	151
28	102
22	84
18	84
13	84
18	46
28	18
22	9
22	13
18	13
18	13
18	18
13	13
18	22
18	28
18	40
13	84
13	121
22	121
22	130
22	172
18	243
13	323
13	442
18	523
22	490
18	523
13	681
18	757
22	815
22	896
22	937
13	1000
9	1222
9	1460
13	1460
13	1485
18	1636
18	1766
22	1873
13	2065
13	2265
22	2323
22	2471
18	2684
13	2592
18	2471
13	2653
18	2809
22	2746
22	2809
18	2872
18	2936
22	3097
28	3295
34	3396
28	3228
28	3228
28	3396
22	3295
22	3328
28	3396
34	3396
34	3362
28	3600
18	3880
22	3774
22	3704
28	3532
22	3463
18	3396
18	3396
34	3262
46	3000
34	2968
28	3097
34	3130
40	3065
28	2872
22	2746
28	2653
34	2778
46	2746
40	2592
40	2412
46	2294
46	2236
46	2236
53	2207
61	2094
61	1873
53	1819
46	1688
46	1534
61	1268
76	958
76	776
102	738
130	757
130	700
130	490
141	337
130	269
111	243
111	207
102	172
111	162
130	121
151	76
151	84
151	61
151	22
162	18
184	22
219	18
243	13
256	9
256	9
295	9
337	28
337	28
351	40
381	53
381	84
396	93
442	121
474	184
523	195
574	269
591	366
627	366
681	337
738	426
835	557
916	663
979	796
1065	738
1131	700
1222	815
1268	1065
1315	1199
1363	1268
1411	1245
1460	1315
1534	1411
1585	1585
1610	1766
1688	1873
1793	1955
1846	2122
1873	2236
1982	2207
2094	2323
2150	2471
2294	2501
2382	2623
2353	2778
2412	2746
2501	2653
2531	2809
2562	2936
2653	3032
2684	3097
2715	3000
2809	2936
2840	3097
2872	3328
2968	3396
2968	3262
3000	3396
3065	3532
3163	3635
3262	3774
3362	3774
3497	3635
3635	3566
3704	3670
3774	3704
3916	3566
3916	3532
3880	3396
3916	3195
3916	3097
3880	3065
3916	2904
3987	2715
3951	2623
4023	2684
4132	2592
4095	2441
4168	2382
4278	2150
4426	2010
4538	2037
4728	2065
4882	2010
4959	1793
4959	1585
5076	1485
5195	1339
5155	1154
5076	958
4959	855
4804	835
4690	757
4690	719
4728	574
4766	411
4882	309
4998	269
5037	282
5116	295
5076	243
4998	151
4959	121
5076	93
5195	76
5354	53
5555	28
5434	18
5234	18
4959	18
4614	18
4315	18
4241	22
4168	28
4204	22
4241	22
4352	34
4501	40
4614	61
4614	84
4426	121
4204	172
4168	231
4204	323
4204	396
4168	474
4168	506
4095	574
3916	776
3704	958
3566	1022
3463	1087
3362	1199
3228	1315
3163	1485
3032	1636
2968	1740
2872	1900
2904	2065
2936	2265
2746	2501
2531	2623
2323	2746
2150	2936
2037	3032
1927	3195
1766	3396
1585	3362
1436	3262
1268	3328
1131	3429
1043	3429
1043	3532
1043	3670
958	3670
855	3670
796	3845
663	3810
557	3704
458	3774
396	3916
309	4023
243	4204
184	4315
151	4352
151	4426
111	4652
84	4728
61	4728
46	4766
34	4728
28	4576
28	4614
18	4804
18	4843
18	4652
18	4766
28	5076
22	5116
18	5234
18	5274
18	5234
22	5195
34	5274
68	5434
102	5555
102	5719
130	5678
141	5314
151	5076
162	5116
219	4882
282	4463
323	4426
323	4538
337	4614
381	4614
506	4576
700	4389
776	4168
855	4168
937	4315
1109	4278
1268	4204
1460	4241
1662	4204
1846	4023
2037	3845
2122	3600
1982	3362
1900	3328
2065	3396
2179	3463
2294	3396
2412	3195
2562	2968
2715	2872
2840	2809
3065	2904
3262	2936
3262	2936
3362	2936
3497	2936
3497	2936
3532	2809
3704	2684
3810	2653
3845	2501
3987	2471
4095	2531
4023	2471
3951	2382
4023	2236
4095	2150
4132	2094
4315	2122
4576	2150
4652	2122
4652	2065
4920	2207
5076	2094
5037	1846
5076	1766
5037	1740
4882	1636
4843	1534
4882	1560
4959	1510
5076	1363
5274	1292
5474	1222
5515	1131
5354	1109
5394	1176
5314	1176
5354	1000
5394	1087
5434	1043
5274	757
5116	681
5195	719
5274	591
5314	540
5434	681
5596	645
5474	591
5234	574
5314	557
5274	411
5195	366
5314	426
5474	458
5274	381
5076	426
4998	381
4690	282
4501	269
4576	219
4463	207
4352	256
4315	256
4315	219
4315	162
4204	219
4204	195
4278	151
4132	130
4278	141
4501	102
4168	93
3845	121
3670	102
3328	76
3097	53
3228	40
3362	22
3163	22
3097	53
3130	40
3000	46
2936	61
2968	61
2936	34
2840	28
2778	28
2904	18
2904	18
2715	28
2778	34
2684	28
2323	34
2236	28
2207	22
2065	22
2010	0
2065	0
2010	0
1846	0
1819	0
1793	0
1714	0
1740	0
1900	0
1873	0
1714	0
1636	0
1636	0
1485	0
1363	0
1339	0
1176	0
1043	0
1109	0
1022	0
875	0
855	0
835	0
776	0
757	0
757	0
738	0
663	0
645	0
681	0
627	0
591	0
574	0
557	0
523	0
506	0
458	0
381	0
323	0
337	0
337	0
337	0
309	0
269	0
243	0
256	0
295	0
295	0
243	0
219	0
207	0
207	0
184	0
162	0
151	0
130	0
111	0
111	0
102	0
93	0
84	0
68	0
68	0
76	0
84	0
84	0
76	0
61	0
53	0
53	0
46	0
40	0
40	0
46	0
46	0
40	0
40	0
34	0
34	0
34	0
34	0
28	0
34	0
34	0
22	0
22	0
22	0
28	0
22	0
18	0
18	0
22	0
22	0
18	0
22	0
22	0
18	0
18	0
22	0
22	0
22	0
18	0
13	0
13	0
18	0
18	0
18	0
13	0
18	0
18	0
13	0
9	0
13	0
13	0
18	0
18	0
22	0
22	0
34	0
34	0
18	0
9	0
13	0
22	0
28	0
22	0
22	0
18	0
22	0
22	0
22	0
18	0
18	0
13	0
18	0
22	0
18	0
18	0
18	0
18	0
18	0
18	0
22	0
22	0
22	0
18	0
13	0
13	0
13	0
18	0
22	0
13	0
9	0
13	0
13	0
13	0
13	0
13	0
18	0
18	0
18	0
18	0
18	0
18	0
18	0
13	0
9	0
9	0
9	0
9	0
9	0
6	0
9	0
18	0
18	0
13	0
9	0
9	0
9	0
9	0
9	0
13	0
9	0
13	0
13	0
18	0
18	0
13	0
9	0

