10.02.2014	14:58:54
automatische Belichtungszeit, Gamma 1,60 korrigiert!
yPos 436	xPos 440


Zeilenpixel	Spaltenpixel
28	84
22	93
28	121
22	121
22	130
18	151
22	162
28	151
22	141
18	151
22	172
28	151
28	141
28	141
18	151
18	141
18	184
18	184
18	195
22	207
22	207
22	207
22	172
22	195
22	172
18	231
18	172
18	172
18	219
22	219
22	231
18	231
28	207
28	172
28	207
22	195
18	184
22	184
28	207
34	231
28	231
22	195
18	256
28	219
22	207
13	256
6	269
9	323
18	256
28	231
34	207
28	184
18	195
28	162
28	184
18	231
13	243
13	243
18	231
28	184
28	162
28	111
34	130
34	162
22	184
18	243
18	231
18	162
22	121
28	130
22	111
13	162
18	195
28	130
22	141
13	151
18	172
18	130
18	121
18	111
22	111
22	141
18	243
18	207
22	172
22	162
28	184
28	102
22	121
13	141
13	184
13	172
18	219
13	184
22	130
34	84
28	102
18	76
13	102
18	130
22	111
22	111
22	93
22	111
22	68
18	61
28	53
22	68
13	53
13	61
22	121
34	84
28	68
18	68
13	40
18	34
18	40
28	46
18	40
13	68
22	53
28	40
22	22
18	28
18	28
13	13
18	22
22	28
28	18
28	13
18	22
9	22
9	18
18	18
18	9
22	13
18	13
18	22
18	18
22	9
22	6
13	9
9	18
9	18
13	9
18	9
22	9
28	9
18	9
13	9
13	9
13	9
13	9
18	6
18	6
18	13
13	9
9	9
13	18
9	18
9	9
13	6
22	13
18	18
18	13
13	13
13	13
9	9
13	13
18	28
13	28
13	13
9	13
13	22
22	18
22	9
18	34
18	13
18	13
13	22
13	13
13	18
13	28
28	34
28	28
18	61
18	111
18	68
18	53
22	102
28	219
34	256
34	231
28	151
28	111
22	68
18	53
18	34
18	18
18	18
13	46
18	130
22	130
22	162
18	121
28	40
22	46
18	34
18	18
22	18
22	53
28	76
28	111
28	68
28	53
22	34
18	28
28	22
28	46
18	46
22	53
40	93
61	141
53	102
53	84
68	102
76	102
61	84
53	34
61	34
61	18
84	18
93	22
68	18
68	18
76	13
84	18
102	9
121	22
141	22
162	13
162	18
151	6
151	18
162	9
172	3
184	18
184	13
184	22
207	9
269	13
323	18
323	13
366	9
411	9
411	18
442	13
474	18
523	18
574	9
591	13
591	13
591	18
609	18
627	13
663	13
663	18
700	13
719	13
815	13
937	22
1043	9
1109	28
1154	9
1268	13
1315	18
1411	9
1485	28
1534	13
1560	18
1662	18
1740	13
1766	22
1873	18
1982	22
1955	18
2037	13
2150	22
2179	13
2179	22
2122	13
2037	13
2065	18
2236	18
2323	22
2353	18
2412	28
2441	34
2562	22
2715	18
2809	13
2809	28
2936	18
3097	22
3195	22
3130	18
3032	28
3097	40
3328	28
3600	18
3739	34
3704	46
3739	34
3880	18
4059	28
4204	22
4278	40
4241	18
4095	22
4204	28
4204	13
3987	28
4168	28
4168	18
4204	34
4241	28
4463	22
4538	22
4576	22
4690	22
4690	18
4766	28
4920	34
5076	28
5037	18
4920	18
4766	22
4652	22
4614	18
4614	22
4690	18
4804	18
4920	13
4920	22
4843	13
4882	18
4882	13
4882	18
4766	13
4690	13
4614	13
4352	13
4278	18
4204	9
4132	6
4278	13
4278	28
4204	9
4204	13
4241	9
4241	6
4204	18
4278	22
4352	18
4389	13
4389	22
4315	18
4204	13
4132	13
4095	18
4132	18
4132	18
4095	18
4023	18
3951	18
3916	22
3845	18
3566	22
3328	34
3262	22
3130	28
2968	34
2715	46
2471	46
2323	34
2236	53
2236	46
2265	40
2207	40
2207	76
2207	68
2179	68
2094	61
1982	84
1873	61
1688	84
1485	130
1292	130
1131	84
875	93
663	162
591	121
490	141
442	184
442	151
426	141
411	184
411	207
366	141
309	151
256	256
184	184
141	151
68	243
40	207
22	172
13	231
9	256
13	219
18	184
13	269
9	256
13	282
18	323
22	351
22	219
22	269
22	381
34	366
76	295
102	337
102	381
141	309
141	396
141	442
151	366
195	309
256	351
282	411
269	411
309	540
351	591
442	506
540	458
681	557
896	474
1000	540
1176	557
1292	609
1411	442
1585	426
1846	474
2010	426
2094	381
2179	366
2207	426
2323	442
2353	458
2471	490
2592	411
2715	381
2778	426
2872	442
3195	309
3396	282
3228	282
3195	426
3295	442
3362	366
3497	351
3704	295
3951	282
4095	256
4023	282
4132	207
4168	256
3987	323
4315	366
4614	309
4652	282
4804	243
4959	195
4882	231
4690	243
4766	282
4843	269
4804	269
4804	337
4920	256
4804	231
4728	295
4766	256
4998	243
4959	309
4920	337
5434	231
5234	231
4920	256
5314	195
4959	162
4843	195
5037	256
5116	184
4959	207
4959	256
5037	184
4766	111
4576	162
4728	111
4920	93
4538	111
4652	121
5116	76
4843	111
4614	130
4920	102
5155	40
4576	68
4804	40
4998	22
4168	40
4278	84
4278	68
3810	61
3845	40
3880	76
3845	34
3635	40
3635	53
3951	34
3951	40
3635	46
3987	34
3810	22
3362	40
3566	68
3810	40
3532	40
3195	40
3362	46
3032	28
2968	28
3429	22
3195	13
3000	18
3163	34
3228	34
3328	22
3163	28
3000	18
2872	18
2562	28
2471	28
2562	9
2236	18
2236	28
2412	13
2265	22
2122	18
2179	13
2207	13
2037	6
1982	13
2065	18
2065	18
1793	13
1793	9
1819	22
1714	22
1636	6
1688	18
1585	0
1292	0
1436	0
1436	0
1176	0
1339	0
1387	0
1245	0
1245	0
1292	0
1292	0
1176	0
1022	0
1043	0
958	0
738	0
757	0
609	0
506	0
574	0
627	0
523	0
426	0
426	0
411	0
442	0
458	0
351	0
309	0
309	0
282	0
256	0
207	0
195	0
219	0
243	0
243	0
256	0
256	0
231	0
207	0
184	0
172	0
151	0
141	0
141	0
151	0
151	0
130	0
102	0
111	0
102	0
68	0
61	0
61	0
68	0
68	0
84	0
84	0
68	0
61	0
46	0
40	0
46	0
40	0
40	0
40	0
40	0
18	0
28	0
53	0
53	0
46	0
40	0
34	0
34	0
40	0
40	0
34	0
22	0
22	0
28	0
28	0
40	0
40	0
22	0
22	0
18	0
18	0
22	0
34	0
28	0
18	0
13	0
18	0
18	0
18	0
18	0
28	0
34	0
28	0
22	0
28	0
40	0
22	0
28	0
28	0
22	0
18	0
18	0
18	0
13	0
13	0
13	0
18	0
28	0
28	0
22	0
18	0
28	0
28	0
28	0
22	0
18	0
18	0
18	0
18	0
18	0
22	0
34	0
28	0
28	0
28	0
28	0
28	0
28	0
22	0
18	0
18	0
18	0
13	0
13	0
13	0
13	0
18	0
22	0
18	0
18	0
13	0
18	0
22	0
28	0
28	0
22	0
18	0
13	0
9	0
9	0
13	0
13	0
13	0
18	0
13	0
13	0
9	0
9	0
13	0
18	0
18	0
18	0
18	0
9	0
9	0
18	0
13	0
13	0
9	0
6	0
6	0
9	0
18	0
18	0
13	0
13	0
18	0
18	0
18	0
22	0
22	0
13	0

